date_of_birth,date_of_joining,gender,promoted
26-07-1983,09-11-2021,male,no
24-01-1989,06-01-2015,female,no
22-10-1967,19-01-2019,male,no
23-03-1990,18-05-2017,male,no
28-02-1980,07-08-2008,female,yes
07-08-1990,08-08-2013,male,no
09-12-1980,08-06-2009,female,yes
02-08-1974,24-02-2006,male,yes
08-01-1990,28-06-2007,male,no
22-07-1975,20-09-2017,male,yes
02-08-1978,25-09-2016,female,yes
17-11-1991,28-06-2016,male,no
15-08-1991,07-12-2011,female,no
25-03-1969,21-11-2014,male,yes
13-04-1975,07-12-2014,female,yes
12-08-1970,15-12-2020,female,no
20-05-1991,11-12-2006,male,no
10-10-1973,06-10-2015,other,yes
30-08-1987,27-02-2015,male,yes
18-07-1974,03-09-2015,female,yes
08-07-1977,10-09-2013,male,yes
11-12-1974,03-09-2020,male,no
03-04-1989,17-06-2019,male,no
02-03-1967,14-05-2008,male,yes
17-08-1983,15-07-2012,female,yes
14-03-1974,21-10-2008,other,yes
16-11-1986,17-04-2014,other,yes
05-02-1985,02-06-2021,female,yes
05-04-1995,08-03-2008,male,no
18-06-1974,21-09-2005,male,yes
10-01-1995,27-09-2007,male,no
31-01-1995,02-12-2015,female,no
19-01-1993,13-02-2005,male,no
15-04-1990,14-02-2020,male,no
06-11-1979,19-10-2010,male,yes
16-01-1997,13-05-2016,female,no
06-12-1992,28-12-2008,male,no
24-04-1991,15-01-2010,female,no
18-09-1996,11-11-2014,female,no
10-12-1972,10-05-2008,male,yes
27-05-1985,29-10-2020,female,no
03-02-1994,26-03-2013,male,no
22-10-1988,15-10-2018,male,yes
16-08-1989,08-06-2007,female,no
11-09-1965,13-08-2021,female,no
05-05-1969,10-03-2021,male,no
13-08-1966,20-05-2019,female,no
27-06-1997,07-06-2019,female,no
02-09-1996,23-03-2020,female,no
01-08-1991,29-06-2017,male,no
01-10-1996,15-11-2005,male,no
10-12-1990,18-10-2016,male,no
19-01-1965,30-05-2005,other,no
12-05-1969,01-01-2020,male,no
05-09-1975,30-09-2018,male,yes
19-10-1982,06-02-2018,male,yes
21-03-1992,03-12-2011,other,no
31-05-1996,03-11-2015,female,yes
23-11-1990,20-06-2017,female,no
19-09-1991,10-10-2006,female,no
12-09-1970,17-07-2010,female,yes
16-12-1970,23-06-2017,male,yes
24-02-1984,18-03-2008,male,yes
25-11-1976,28-12-2009,female,yes
18-10-1972,11-12-2018,male,yes
30-12-1998,23-11-2017,male,no
13-04-1978,26-12-2017,male,yes
05-01-1987,10-02-2012,other,no
06-11-1981,15-12-2008,female,yes
11-01-1979,08-02-2020,male,no
31-03-1979,29-07-2009,other,no
29-12-1969,10-02-2005,female,yes
21-04-1983,14-06-2012,male,yes
14-11-1973,08-01-2017,female,yes
26-05-1995,13-12-2005,male,no
04-09-1997,20-03-2011,other,no
09-02-1990,02-10-2017,male,no
29-08-1977,23-08-2006,other,no
31-10-1987,16-09-2010,female,yes
23-03-1995,21-07-2015,male,no
25-01-1981,30-09-2005,male,yes
07-07-1971,23-03-2009,female,yes
25-09-1974,05-04-2011,male,yes
05-05-1972,31-01-2013,male,yes
12-07-1983,23-05-2008,male,yes
24-04-1986,27-01-2011,female,yes
05-09-1996,09-12-2006,female,no
19-01-1990,27-08-2015,female,no
15-02-1974,22-04-2010,female,yes
25-09-1977,13-11-2019,other,no
28-03-1976,17-09-2019,male,no
20-04-1985,07-11-2012,other,yes
29-10-1986,11-06-2014,male,yes
09-01-1967,08-10-2016,female,yes
25-05-1981,18-07-2017,female,yes
